y,trt,limit_bal,sex,education,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,age_cycle,risk,young
2.7937596072436044,1,150000,1,2,38,-1,-1,-1,-1,-1,-1,509,14310,980,1000,1132,8774,14310,980,1000,1132,8774,10867,0.5867930554568132,-10.819778284410283,0.6634
-2.9751116530794306,0,20000,1,2,30,2,2,2,2,0,0,13269,12391,12326,10621,10400,0,33,3317,0,1000,0,0,0.7157415085961183,-8.804875263868018,0.36710000000000004
-6.169412746500257,0,30000,0,2,35,0,0,0,0,0,2,22206,23846,24554,25213,27638,27042,2000,1409,1068,3000,0,3450,-0.46665063862875417,-9.210340371976182,0.5603
-27.79964808196005,0,160000,0,1,32,0,0,0,0,0,0,111907,106109,89231,67134,55773,46485,3805,2993,2293,1838,1687,2735,0.3371682060957321,-11.289781913656018,0.4462666666666667
2.4347119241317174,1,50000,1,3,48,-1,-1,0,0,0,0,2722,33868,26646,26832,27395,27940,33895,1439,959,994,1000,1013,-0.05184735731594349,-9.433483923290392,0.8956000000000001
-8.160704119092044,0,200000,1,2,42,1,2,0,0,2,2,38187,35827,19208,20023,19572,19652,44,1303,1522,0,1099,1339,0.2292573983653189,-11.107460356862065,0.7781333333333333
-1.4363383457496024,0,60000,1,1,27,0,0,0,-2,-2,-2,10908,13331,0,0,0,0,8331,0,0,0,0,3860,-0.8071320398438693,-10.308952660644293,0.22013333333333335
1.7351106190804801,1,240000,0,2,35,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-0.46665063862875417,-11.289781913656018,0.5603
1.059262363913534,1,10000,1,1,38,-1,-1,2,0,0,2,4711,9617,9307,9665,10470,10169,5000,0,500,1100,0,1000,0.5867930554568132,-8.517193191416238,0.6634
-9.334095275845808,0,30000,1,3,28,-1,0,0,0,2,0,38390,20830,56262,59113,58016,30900,4200,36444,4360,4,2204,0,-0.93287533527124,-8.922658299524402,0.2671
-16.700306331956888,0,70000,1,2,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,-0.36432449840207637,-10.057638232363386,0.6952
-58.19093886796663,0,340000,1,2,30,0,0,0,0,0,0,233770,216978,181217,172862,171353,170048,8100,8000,6102,6628,6517,4500,0.7157415085961183,-11.638088607924235,0.36710000000000004
-25.701514532082005,0,320000,1,1,35,0,0,2,2,2,2,106799,116015,117678,119245,120794,123796,11003,5000,5000,5000,5100,5300,-0.46665063862875417,-11.982929094215963,0.5603
1.8368029593170834,1,280000,1,1,38,1,-1,-1,-1,-1,-1,4608,5393,2369,3700,5024,5188,5410,2380,3709,5849,5606,5299,0.5867930554568132,-11.84939770159144,0.6634
-4.482515467672136,0,20000,0,3,26,1,2,0,0,0,0,18025,17443,18117,17040,17763,17666,0,1277,1300,1000,799,2000,0.06068473073584442,-8.517193191416238,0.1709
-10.601919349477596,0,70000,0,2,33,0,0,0,0,0,-1,43981,33439,24926,10681,7431,4705,1683,3160,3000,3000,5060,5032,-0.6100254061874114,-10.057638232363386,0.4844666666666667
-57.65243241996184,0,360000,1,3,42,0,0,0,0,0,0,226988,217735,207215,197096,187693,177338,8006,7506,7006,7006,6103,5506,0.2292573983653189,-11.407564949312402,0.7781333333333333
-10.95148301179678,0,220000,0,3,47,-1,-1,-1,-1,-1,-1,38412,50367,64735,22792,184483,62140,50451,64775,22794,184483,62140,48080,-0.8683524709556913,-10.915088464214607,0.8800666666666667
-4.347008853028932,0,140000,0,1,25,3,2,0,0,0,0,21593,14021,10084,89223,58280,44593,0,2000,83000,3000,32000,2000,0.8727082397389971,-11.156250521031495,0.12903333333333333
-1.9029570029139076,0,150000,0,3,40,-1,-1,-1,-1,-1,-1,5916,5876,5956,5876,5496,5116,5876,5956,5876,5496,5116,5496,-0.9804837885986036,-10.532096211958502,0.7242000000000001
-3.683471918972095,0,20000,1,3,32,1,2,0,0,0,0,20450,17861,18967,19633,18187,18568,0,1700,1300,651,674,756,0.3371682060957321,-8.517193191416238,0.4462666666666667
-46.07142105360825,0,400000,0,2,24,0,0,0,0,0,0,187790,176294,190256,89128,39276,23440,5519,44776,1502,2026,1015,52100,0.8823678178263664,-11.800607537422009,0.0895
-6.531511912096773,0,50000,0,1,26,2,2,2,2,2,0,29164,28396,31533,31833,31022,31681,0,3600,1111,0,1160,1160,0.06068473073584442,-10.126631103850338,0.1709
-4.331950607802665,0,70000,0,3,32,2,2,0,0,0,-1,18317,17330,11400,11120,10914,11315,0,1000,110,500,18963,1000,0.3371682060957321,-9.769956159911606,0.4462666666666667
-31.44778081831758,0,130000,0,1,29,2,0,0,0,0,0,126509,109944,105049,68154,67397,61764,6000,6000,5000,2500,3000,3000,-0.20093734962526053,-11.082142548877775,0.3206
-16.23032202284174,0,80000,0,2,23,0,0,-2,-2,-2,-2,68850,0,0,0,0,0,0,0,0,0,0,0,0.08078249345185172,-10.191169624987909,0.05193333333333334
-3.5892127912190674,0,250000,0,2,29,0,-1,-1,-2,-1,-1,20687,14082,-38,-38,7581,5625,14158,0,0,7619,5653,652,-0.20093734962526053,-11.330603908176274,0.3206
-0.03564348989220978,0,220000,0,2,45,1,-1,0,-1,0,-1,0,6010,7069,43957,30693,13264,6010,1229,43957,614,13264,700,-0.0896017099415335,-11.202770536666389,0.8443666666666667
-23.434467402064246,0,320000,0,1,39,0,0,0,0,0,0,91224,93025,99433,107659,110567,99935,10000,10000,10000,10000,5000,5000,-0.36432449840207637,-11.982929094215963,0.6952
1.1761934433198444,1,120000,0,1,30,-1,-1,-1,-1,-1,-1,416,416,416,0,832,416,416,416,0,832,416,416,0.7157415085961183,-11.002099841204238,0.36710000000000004
1.059544632742063,1,30000,0,2,21,-2,-2,-2,-2,-2,-2,0,780,3260,4311,1551,0,780,3260,4311,1551,0,0,-0.9399429979357538,-9.210340371976182,0.0022333333333333333
-59.52140395643262,0,240000,1,2,39,2,0,0,0,0,0,234661,234364,235982,239281,244329,249130,10200,10200,8725,9068,9068,15000,-0.36432449840207637,-11.289781913656018,0.6952
-2.685927803578508,1,30000,0,2,24,1,2,2,2,2,0,16704,18121,19030,19424,18818,23307,2000,1500,1000,0,5000,2000,0.8823678178263664,-9.210340371976182,0.0895
-0.9956516277092423,0,10000,1,2,35,1,6,5,4,3,2,8257,8001,7741,7481,7075,6815,0,0,0,0,0,700,-0.46665063862875417,-8.111728083308073,0.5603
